	action_index	object_in_range	v_measure_calc_distance	v_measure_sensor_distance
0	0.0	0.0	3.0	1.6
1	0.0	0.0	3.0	1.6
2	0.0	0.0	3.0	1.6
3	0.0	0.0	3.0	1.2823272357296978
4	1.0	1.0	0.0	1.2861928032146155
5	1.0	1.0	0.0	1.2636118998725476
6	1.0	1.0	0.0	1.4306598464776092
7	0.0	0.0	3.0	1.6
8	0.0	0.0	3.0	1.6
9	0.0	0.0	3.0	1.6
10	0.0	0.0	3.0	1.6
11	0.0	0.0	3.0	1.6
12	0.0	0.0	3.0	1.6
13	0.0	0.0	3.0	1.6
14	0.0	0.0	3.0	1.6
15	0.0	0.0	3.0	1.6
16	0.0	0.0	3.0	1.6
17	0.0	0.0	3.0	1.6
18	0.0	0.0	3.0	1.6
19	0.0	0.0	3.0	1.6
20	0.0	0.0	3.0	1.6
21	0.0	0.0	3.0	1.6
22	0.0	0.0	3.0	1.6
23	0.0	0.0	3.0	1.6
24	0.0	0.0	3.0	1.6
25	0.0	0.0	3.0	1.6
26	0.0	0.0	3.0	1.6
27	0.0	0.0	3.0	1.6
28	0.0	0.0	3.0	1.6
29	0.0	0.0	3.0	1.6
30	0.0	0.0	3.0	1.6
31	0.0	0.0	3.0	1.6
32	0.0	0.0	3.0	1.4112850051923511
33	0.0	0.0	3.0	1.274410756982367
34	1.0	1.0	0.0	1.3062630280412328
35	1.0	1.0	0.0	1.1371398881106471
36	1.0	1.0	0.0	1.3333936795287995
37	1.0	1.0	0.0	1.3225774935776835
38	1.0	1.0	0.0	1.4535922757118778
39	0.0	0.0	3.0	1.6
40	0.0	0.0	3.0	1.6
41	0.0	0.0	3.0	1.6
42	0.0	0.0	3.0	1.6
43	0.0	0.0	3.0	1.6
44	0.0	0.0	3.0	1.4157794756666258
45	0.0	0.0	3.0	1.416413495920358
46	0.0	0.0	3.0	1.6
47	0.0	0.0	3.0	1.6
48	0.0	0.0	3.0	1.6
49	0.0	0.0	3.0	1.6
50	0.0	0.0	3.0	1.6
51	0.0	0.0	3.0	1.6
52	0.0	0.0	3.0	1.6
53	0.0	0.0	3.0	1.6
54	0.0	0.0	3.0	1.6
55	0.0	0.0	3.0	1.6
56	0.0	0.0	3.0	1.6
57	0.0	0.0	3.0	1.6
58	0.0	0.0	3.0	1.6
59	0.0	0.0	3.0	1.6
60	0.0	0.0	3.0	1.6
61	0.0	0.0	3.0	1.6
62	0.0	0.0	3.0	1.6
63	0.0	0.0	3.0	1.6
64	0.0	0.0	3.0	1.6
65	0.0	0.0	3.0	1.6
66	0.0	0.0	3.0	1.068118955208979
67	1.0	1.0	0.0	1.2698060051736944
68	1.0	1.0	0.0	1.2615392127837637
69	1.0	1.0	0.0	1.231478571037247
70	1.0	1.0	0.0	1.4096721079042887
71	0.0	0.0	3.0	1.6
72	0.0	0.0	3.0	1.6
73	0.0	0.0	3.0	1.6
74	0.0	0.0	3.0	1.6
75	0.0	0.0	3.0	1.6
76	0.0	0.0	3.0	1.6
77	0.0	0.0	3.0	1.6
78	0.0	0.0	3.0	1.6
79	0.0	0.0	3.0	1.6
80	0.0	0.0	3.0	1.6
81	0.0	0.0	3.0	1.6
82	0.0	0.0	3.0	1.6
83	0.0	0.0	3.0	1.6
84	0.0	0.0	3.0	1.6
85	0.0	0.0	3.0	1.6
86	0.0	0.0	3.0	1.6
87	0.0	0.0	3.0	1.6
88	0.0	0.0	3.0	1.6
89	0.0	0.0	3.0	1.6
90	0.0	0.0	3.0	1.6
91	0.0	0.0	3.0	1.6
92	0.0	0.0	3.0	1.6
93	0.0	0.0	3.0	1.6
94	0.0	0.0	3.0	1.6
95	0.0	0.0	3.0	1.6
96	0.0	0.0	3.0	1.6
97	0.0	0.0	3.0	1.6
98	0.0	0.0	3.0	1.6
99	0.0	0.0	3.0	1.6
100	0.0	0.0	3.0	1.6
101	0.0	0.0	3.0	1.6
102	0.0	0.0	3.0	1.6
103	0.0	0.0	3.0	1.6
104	0.0	0.0	3.0	1.6
105	0.0	0.0	3.0	1.6
106	0.0	0.0	3.0	1.6
107	0.0	0.0	3.0	1.6
108	0.0	0.0	3.0	1.6
109	0.0	0.0	3.0	1.6
110	0.0	0.0	3.0	1.6
111	0.0	0.0	3.0	1.6
112	0.0	0.0	3.0	1.6
113	0.0	0.0	3.0	1.6
114	0.0	0.0	3.0	1.6
115	0.0	0.0	3.0	1.6
116	0.0	0.0	3.0	1.6
117	0.0	0.0	3.0	1.6
118	0.0	0.0	3.0	1.6
119	0.0	0.0	3.0	1.6
120	0.0	0.0	3.0	1.6
121	0.0	0.0	3.0	1.6
122	0.0	0.0	3.0	1.6
123	0.0	0.0	3.0	1.6
124	0.0	0.0	3.0	1.6
125	0.0	0.0	3.0	1.6
126	0.0	0.0	3.0	1.6
127	0.0	0.0	3.0	1.4110596139165306
128	0.0	0.0	3.0	0.768321200251781
129	2.0	1.0	0.0	0.9983459664756297
130	2.0	1.0	0.0	0.8039138267295806
131	2.0	1.0	0.0	0.9953551134761388
132	2.0	1.0	0.0	0.770246626964515
133	2.0	1.0	0.0	0.9394918237548661
134	2.0	1.0	0.0	0.8829286261058557
135	2.0	1.0	0.0	1.037394231877136
136	0.0	0.0	3.0	0.7408876633263082
137	2.0	1.0	0.0	0.9917632508276583
