	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
0	-8.210661586455894	1.5532857233154296	0.0	0.0	1.0	1.0	[0.15, 0.017773623971297628, 0.004065897022002622, 0.15]	-8.210661586455894	0.021901860228360784	3.0	1.5532857233154296
1	-19.552043978839016	3.073545593242664	0.0	0.0	0.99984016	1.0	[0.15, 0.04095780802783219, 0.002914283782140546, 0.013047367388597473]	-11.341382392383123	0.01746031376597467	6.0	1.5202598699272345
2	-28.808777625757614	4.623796876044594	2.0	0.0	0.99968032	1.0	[0.15, 0.022617495413141727, 0.0036405877980105134, 0.15]	-9.2567336469186	0.01172706399858809	6.0	1.5502512828019293
3	-37.67947783797449	6.131018586428095	1.0	0.0	0.99952048	1.0	[0.15, 0.04268775404778197, 0.005345766874131393, 0.016832686883821762]	-8.870700212216875	0.012198465963422793	6.0	1.5072217103835006
4	-42.67605075211142	7.639865333318218	1.0	0.0	0.99936064	1.0	[0.15, 0.15, 0.016970975507863383, 0.013389051513099886]	-4.996572914136933	0.014492302330375914	6.0	1.5088467468901237
5	-47.862831275819545	9.098084543535816	2.0	0.0	0.9992008	1.0	[0.15, 0.055957390559385305, 0.013742897904809289, 0.025852496878282366]	-5.18678052370812	0.013141719434466041	6.0	1.4582192102175984
6	-54.03031672451273	10.628944041265393	1.0	0.0	0.99904096	1.0	[0.15, 0.15, 0.01158905298717375, 0.011456372218686285]	-6.167485448693181	0.013575861682622033	6.0	1.5308594977295777
7	-63.549393505738095	12.132486119229473	0.0	0.0	0.99888112	1.0	[0.15, 0.053416390261280595, 0.004694374188626338, 0.01050762986202519]	-9.519076781225365	0.011392449027719504	9.0	1.5035420779640796
8	-74.86179099764314	13.652616870648748	0.0	0.0	0.99872128	1.0	[0.15, 0.039746954143994866, 0.003073767588556435, 0.014025854932545599]	-11.312397491905053	0.009122679678680917	12.0	1.5201307514192746
9	-87.03814382535026	15.177500263821113	0.0	0.0	0.99856144	1.0	[0.15, 0.03488025914010192, 0.00259443616807196, 0.016021827910465115]	-12.176352827707117	0.00804092788907937	15.0	1.5248833931723658
10	-92.5574590424534	16.701419052747305	1.0	0.0	0.9984016	1.0	[0.15, 0.15, 0.013110518230155063, 0.013999268741697544]	-5.519315217103137	0.015078268268475801	15.0	1.5239187889261916
11	-95.65762018039207	18.22570594731674	1.0	0.0	0.99824176	1.0	[0.15, 0.15, 0.03225666032202993, 0.021989850752880107]	-3.1001611379386746	0.01297610234816577	15.0	1.524286894569436
12	-98.37806897577742	19.763479181422753	0.0	0.0	0.99808192	1.0	[0.15, 0.15, 0.021150509607553717, 0.022931642774572415]	-2.720448795385353	0.026901562147257	18.0	1.5377732341060129
13	-99.57613990232582	21.222257698345143	1.0	0.0	0.99792208	1.0	[0.15, 0.15, 0.04006859586739303, 0.15]	-1.198070926548402	0.032635188641762666	18.0	1.458778516922389
