	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
0	1.9783522356901777	1.6	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.9783522356901777	3.0	1.6
1	3.482321775536164	3.2	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.5039695398459865	6.0	1.6
2	4.549634205678933	4.800000000000001	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.0673124301427683	9.0	1.6
3	6.901379982144787	5.884141157761576	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.351745776465855	12.0	1.0841411577615756
4	9.806146036397159	7.4841411577615755	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.904766054252371	15.0	1.6
5	12.267581096127653	9.084141157761575	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.4614350597304933	18.0	1.6
6	13.97723999632741	10.684141157761575	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.7096589001997575	21.0	1.6
7	15.085439892692378	12.284141157761574	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.108199896364968	24.0	1.6
8	16.47423076394987	13.884141157761574	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3887908712574917	27.0	1.6
9	18.652185085042788	15.484141157761574	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.177954321092918	30.0	1.6
10	19.21103584742353	17.084141157761575	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.5588507623807426	33.0	1.6
11	21.680580174696786	18.48627360349275	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.4695443272732542	36.0	1.402132445731176
12	23.81864311500565	19.549264401757377	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.1380629403088633	39.0	1.062990798264627
13	26.372509312191553	21.149264401757378	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.553866197185905	42.0	1.6
14	28.7575696346658	22.232890558475116	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.3850603224742457	45.0	1.0836261567177394
15	29.626513127062793	23.376899623253696	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.8689434923969936	48.0	1.1440090647785779
16	31.144183736064196	24.660200506868527	0.0	0.0	1.0	[0.15, 0.15, 0.12358618550845255, 0.11090988575118546]	1.517670609001404	51.0	1.283300883614831
17	30.90761799861544	25.959312189086226	1.0	0.0	1.0	[0.15, 0.15, 0.11909051252673417, 0.10463800822155923]	-0.2365657374487556	51.0	1.2991116822176973
18	30.575523793435057	27.277009776582183	1.0	0.0	1.0	[0.15, 0.15, 0.11839969555342672, 0.08995130309569077]	-0.3320942051803816	51.0	1.3176975874959584
19	30.290538701512258	28.685204038571214	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.0726903940971051]	-0.284985091922799	51.0	1.4081942619890295
20	30.28319582551645	30.053740709828894	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.1131648551304652]	-0.007342875995807926	51.0	1.3685366712576799
21	30.292885805098617	31.537013897001135	1.0	0.0	1.0	[0.15, 0.15, 0.15, 0.11672681282775939]	0.009689979582165763	51.0	1.4832731871722407
22	30.43197306611441	33.13701389700113	1.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.13908726101579305	51.0	1.6
23	32.03129377563185	34.737013897001134	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.5993207095174435	54.0	1.6
24	33.11730627448487	36.337013897001135	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.0860124988530149	57.0	1.6
25	35.195824033876974	37.798386715619316	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.0785177593921027	60.0	1.4613728186181794
26	37.3855512612672	39.279197797799746	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.189727227390231	63.0	1.4808110821804297
27	39.55837542148496	40.741678800223696	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.1728241602177594	66.0	1.4624810024239465
28	41.93113006453644	41.80426738058593	0.0	0.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.3727546430514823	69.0	1.0625885803622304
29	44.47845812050118	43.40426738058593	0.0	0.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.547328055964743	72.0	1.6
