	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
0	1.7793191756222038	1.3198779577820385	0.0	0.0	0.5	1.0	[0.15, 0.10754529467244103, 0.15, 0.15]	1.7793191756222038	0.04568887710061908	3.5	1.3198779577820385
1	1.6861174089652764	2.6807321796839707	3.0	0.0	0.4998004	1.0	[0.15, 0.09539661338419361, 0.15, 0.15]	-0.09320176665692737	0.032080776735387555	5.3	1.3608542219019324
2	1.4145647744053331	4.109545292106922	3.0	0.0	0.4996008	1.0	[0.15, 0.07106686786320923, 0.15, 0.15]	-0.2715526345599433	0.04984067886155438	7.1	1.4288131124229522
3	0.971962800540235	5.430426243659173	5.0	0.0	0.4994012	1.0	[0.15, 0.06347956607605842, 0.1394367795698714, 0.15]	-0.44260197386509814	0.011315008071838216	7.1	1.3208809515522504
4	0.20956473307901058	6.609411896724051	5.0	0.0	0.4992016	1.0	[0.15, 0.06139001194775962, 0.09748103565275412, 0.15]	-0.7623980674612244	0.012718953505721093	7.1	1.1789856530648786
5	-0.8207294550719634	7.705424155826098	5.0	0.0	0.499002	1.0	[0.15, 0.06901763910169723, 0.06807674393728182, 0.15]	-1.030294188150974	0.013413892431121208	7.1	1.096012259102047
6	-3.5365100144680146	9.06595739402863	3.0	0.0	0.4988024	1.0	[0.15, 0.04770708686945265, 0.030991257399344493, 0.07756023849729576]	-2.7157805593960513	0.033717930647839234	8.9	1.3605332382025324
7	-6.737585021064314	10.45817209967215	4.0	0.0	0.4986028	1.0	[0.15, 0.051093828111584715, 0.02480742903763941, 0.06335635857952374]	-3.2010750065963	0.008055605059151648	8.9	1.3922147056435221
8	-10.00251705261694	11.852671361465642	5.0	0.0	0.4984032	1.0	[0.15, 0.06575896527038648, 0.02549484593021153, 0.043495062471196055]	-3.264932031552625	0.0062656343760029145	8.9	1.3944992617934908
9	-16.05244680352476	13.299524570014032	3.0	0.0	0.4982036	1.0	[0.15, 0.08028025987488722, 0.012282160514714537, 0.013880279681868082]	-6.049929750907819	0.02030379432051822	10.700000000000001	1.4468532085483903
10	-20.996094749274043	14.710861452490152	3.0	0.0	0.498004	1.0	[0.15, 0.09708072830967408, 0.01686270550742833, 0.016410568177240972]	-4.943647945749284	0.0038086931058650595	12.500000000000002	1.4113368824761197
11	-29.538451063564658	16.20257755364274	3.0	0.0	0.4978044	1.0	[0.15, 0.05842849376524211, 0.00641329372055341, 0.011509577829210041]	-8.542356314290613	0.01568232722815034	14.300000000000002	1.4917161011525883
12	-41.22074933866575	17.720650932909486	2.0	0.0	0.4976048	1.0	[0.15, 0.04281718260038875, 0.003139614732938837, 0.01250008588654287]	-11.682298275101088	0.008801379127350416	16.1	1.5180733792667438
